x,y
364.4974575,-469.3428361
364.4274575,-469.3428361
364.3574575,-469.3428361
364.2874575,-469.3428361
364.2174575,-469.3428361
364.1474575,-469.3428361
364.0774575,-469.3428361
364.0074575,-469.3428361
363.9374575,-469.3428361
363.8674575,-469.3428361
363.7974575,-469.3428361
363.7274575,-469.3428361
363.6574575,-469.3428361
363.5874575,-469.3428361
363.5174575,-469.3428361
363.4474575,-469.3428361
363.3774575,-469.3428361
363.3074575,-469.3428361
363.2374575,-469.3428361
363.1674575,-469.3428361
363.0974575,-469.3428361
363.0274575,-469.3428361
362.9574575,-469.3428361
362.8874575,-469.3428361
362.8174575,-469.3428361
362.7474575,-469.3428361
362.6774575,-469.3428361
362.6074575,-469.3428361
362.5374575,-469.3428361
362.4674575,-469.3428361
362.3974575,-469.3428361
362.3274575,-469.3428361
362.2574575,-469.3428361
362.1874575,-469.3428361
362.1174575,-469.3428361
362.0474575,-469.3428361
361.9774575,-469.3428361
361.9074575,-469.3428361
361.8374575,-469.3428361
361.7674575,-469.3428361
361.6974575,-469.3428361
361.6274575,-469.3428361
361.5574575,-469.3428361
361.4874575,-469.3428361
361.4174575,-469.3428361
361.3474575,-469.3428361
361.2774575,-469.3428361
361.2074575,-469.3428361
361.1374575,-469.3428361
361.0674575,-469.3428361
360.9974575,-469.3428361
360.9274575,-469.3428361
360.8574575,-469.3428361
360.7874575,-469.3428361
360.7174575,-469.3428361
360.6474575,-469.3428361
360.5774575,-469.3428361
360.5074575,-469.3428361
360.4374575,-469.3428361
360.3674575,-469.3428361
360.2974575,-469.3428361
360.2274575,-469.3428361
360.1574575,-469.3428361
360.0874575,-469.3428361
360.0174575,-469.3428361
359.9474575,-469.3428361
359.8774575,-469.3428361
359.8074575,-469.3428361
359.7374575,-469.3428361
359.6674575,-469.3428361
359.5974575,-469.3428361
359.5274575,-469.3428361
359.4574575,-469.3428361
359.3874575,-469.3428361
359.3174575,-469.3428361
359.2474575,-469.3428361
359.1774575,-469.3428361
359.1074575,-469.3428361
359.0374575,-469.3428361
358.9674575,-469.3428361
358.8974575,-469.3428361
358.8274575,-469.3428361
358.7574575,-469.3428361
358.6874575,-469.3428361
358.6174575,-469.3428361
358.5474575,-469.3428361
358.4774575,-469.3428361
358.4074575,-469.3428361
358.3374575,-469.3428361
358.2674575,-469.3428361
358.1974575,-469.3428361
358.1274575,-469.3428361
358.0574575,-469.3428361
357.9874575,-469.3428361
357.9174575,-469.3428361
357.8474575,-469.3428361
357.7774575,-469.3428361
357.7074575,-469.3428361
357.6374575,-469.3428361
357.5674575,-469.3428361
